index,costfn,value
0,greedy,827
1,greedy,7987
2,greedy,619670
3,greedy,30872368
4,greedy,592
5,greedy,4251
6,greedy,11290
7,greedy,41145
8,greedy,567
9,greedy,3011
10,greedy,7985
11,greedy,20899
12,greedy,573
13,greedy,2900
14,greedy,8246
15,greedy,18258
16,greedy,574
17,greedy,2858
18,greedy,8198
19,greedy,16020
20,greedy,16024
21,greedy,16024
22,greedy,191
0,normal,827
1,normal,7987
2,normal,619670
3,normal,30872368
4,normal,107786769
5,normal,178875000
6,normal,215333350
7,normal,226332303
8,normal,228304945
9,normal,228846559
10,normal,229049769
11,normal,229051225
12,normal,229051225
13,normal,164
