index,date,kernel,benchmark,params,exp,timeout,compile_time,cycles,cost,dir
0,Apr11-1244,compgen,2d-conv,3x3_2x2,76,1800,59.264115617973395,64,15.351999999999999,completed/2d-conv_3x3_2x2/76
1,Apr11-1244,compgen,2d-conv,3x3_3x3,94,1800,424.03600138819166,144,50.64299999999999,completed/2d-conv_3x3_3x3/94
2,Apr11-1244,compgen,2d-conv,3x5_3x3,69,1800,985.5580433877237,191,73.11599999999999,completed/2d-conv_3x5_3x3/69
3,Apr11-1244,compgen,2d-conv,4x4_3x3,86,1800,729.9944769557676,216,76.65799999999999,completed/2d-conv_4x4_3x3/86
4,Apr11-1244,compgen,2d-conv,8x8_3x3,88,1800,1592.3008463738743,731,318.993,completed/2d-conv_8x8_3x3/88
5,Apr11-1244,compgen,2d-conv,10x10_2x2,32,1800,405.8490675799762,332,134.8779999999999,completed/2d-conv_10x10_2x2/32
6,Apr11-1244,compgen,2d-conv,10x10_3x3,70,1800,2106.9068226332656,1321,583.754,completed/2d-conv_10x10_3x3/70
7,Apr11-1244,compgen,2d-conv,10x10_4x4,29,1800,2976.516467128113,2523,1246.1629999999996,completed/2d-conv_10x10_4x4/29
8,Apr11-1244,compgen,2d-conv,16x16_2x2,19,1800,1576.1535080908038,859,394.30800000000005,completed/2d-conv_16x16_2x2/19
9,Apr11-1244,compgen,2d-conv,16x16_3x3,65,1800,1065.3961420105582,4178,1966.416000000001,completed/2d-conv_16x16_3x3/65
10,Apr11-1244,compgen,2d-conv,16x16_4x4,18,1800,3105.2057991116885,8934,6785.923999999997,completed/2d-conv_16x16_4x4/18
11,Apr11-1244,compgen,mat-mul,2x2_2x2,29,1800,69.5124044031333,36,2.0519999999999996,completed/mat-mul_2x2_2x2/29
12,Apr11-1244,compgen,mat-mul,2x3_3x3,26,1800,36.62006671583276,44,7.725999999999999,completed/mat-mul_2x3_3x3/26
13,Apr11-1244,compgen,mat-mul,3x3_3x3,25,1800,51.13599133578369,49,10.591999999999999,completed/mat-mul_3x3_3x3/25
14,Apr11-1244,compgen,mat-mul,4x4_4x4,23,1800,93.79859642879114,52,16.715999999999994,completed/mat-mul_4x4_4x4/23
15,Apr11-1244,compgen,mat-mul,8x8_8x8,22,1800,1497.2924642130495,568,217.37199999999996,completed/mat-mul_8x8_8x8/22
16,Apr11-1244,compgen,mat-mul,10x10_10x10,20,1800,1954.5723397132178,1741,698.1129999999998,completed/mat-mul_10x10_10x10/20
17,Apr11-1244,compgen,mat-mul,16x16_16x16,22,1800,2337.119579706359,10075,4046.0579999999986,completed/mat-mul_16x16_16x16/22
18,Apr11-1244,compgen,q-prod,0,13,1800,1795.927444508895,132,52.99599999999998,completed/q-prod/13
19,Apr11-1244,compgen,qr-decomp,3,13,1800,2755.665315581828,1195,161993023.56,completed/qr-decomp_3/13
