benchmark,params,kernel,cycles,correct
2d-conv,3x3_2x2,noeqsat,61,1
2d-conv,3x3_3x3,noeqsat,113,1
2d-conv,3x5_3x3,noeqsat,201,1
2d-conv,4x4_3x3,noeqsat,184,1
2d-conv,10x10_2x2,noeqsat,843,1
2d-conv,8x8_3x3,noeqsat,1220,1
2d-conv,10x10_3x3,noeqsat,2190,1
2d-conv,16x16_2x2,noeqsat,1569,1
2d-conv,10x10_4x4,noeqsat,5271,1
2d-conv,16x16_3x3,noeqsat,10094,1
2d-conv,16x16_4x4,noeqsat,15291,1
mat-mul,2x2_2x2,noeqsat,33,1
mat-mul,2x3_3x3,noeqsat,46,1
mat-mul,3x3_3x3,noeqsat,53,1
mat-mul,4x4_4x4,noeqsat,90,1
mat-mul,8x8_8x8,noeqsat,941,1
mat-mul,10x10_10x10,noeqsat,1922,1
mat-mul,16x16_16x16,noeqsat,13477,1
q-prod,0,noeqsat,61,1
